id,Receita,vendas,Comparacao
22,396625.99493408203,1809580,-1412955.130065918
24,367449.8967285156,1449010,-1081559.7282714844
3,1195793.3937683105,1808830,-613038.6062316895
23,258010.89630126953,845739,-587728.1036987305
11,642867.3007202148,922678,-279811.07427978516
2,1142286.704421997,1412340,-270049.04557800293
16,791646.3965454102,1047310,-255658.79095458984
12,496036.4985656738,710363,-214326.50143432617
7,339137.2028808594,419214,-80076.42211914062
15,1692919.5933990479,1751350,-58427.65660095215
8,391430.0944824219,442868,-51438.061767578125
18,1239071.689300537,1264960,-25886.56069946289
19,784066.2956237793,790466,-6399.641876220703
9,339464.59912109375,342554,-3089.52587890625
